full_name,host_type,language,stars,description
apache/tika,GitHub,Java,1151,Mirror of Apache Tika
hibernate/hibernate-search,GitHub,Java,386,Hibernate Search: full-text search for domain model
danfickle/openhtmltopdf,GitHub,Java,1130,"An HTML to PDF library for the JVM. Based on Flying Saucer and Apache PDF-BOX 2. With SVG image support. Now also with accessible PDF support (WCAG, Section 508, PDF/UA)!"
lessthanoptimal/BoofCV,GitHub,Java,684,"Fast computer vision library for SFM, calibration, fiducials, tracking,  image processing, and more."
ModeShape/modeshape,GitHub,Java,208,"ModeShape is a distributed, hierarchical, transactional, and consistent data store with support for queries, full-text search, events, versioning, references, and flexible and dynamic schemas. It is very fast, highly available, extremely scalable, and it is 100% open source and written in Java. Clients use the JSR-283 standard Java API for content repositories (aka, JCR) or ModeShape's REST API, and can query content through JDBC and SQL."
dkpro/dkpro-core,GitHub,Java,183,Collection of software components for natural language processing (NLP) based on the Apache UIMA framework.
izpack/izpack,GitHub,Java,264,IzPack - Source Code
qaprosoft/carina,GitHub,Java,561,"Carina automation framework: Web, Mobile, API, DB"
paulcwarren/spring-content,GitHub,Java,153,Cloud-Native Storage and Enterprise Content Services (ECMS) for Spring
ujmp/universal-java-matrix-package,GitHub,Java,94,"A Java Library for sparse and dense matrices, linear algebra, visualization and big data"
nguyenq/tess4j,GitHub,Java,924,Java JNA wrapper for Tesseract OCR API
radkovo/Pdf2Dom,GitHub,Java,127,  Pdf2Dom is a PDF parser that converts the documents to a HTML DOM representation. The obtained DOM tree may be then serialized to a HTML file or further processed. A command-line utility for converting the PDF documents to HTML is included in the distribution package. Pdf2Dom may be also used as an independent Java library with a standard DOM interface for your DOM-based applications or as an alternative parser for the CSSBox rendering engine in order to add the PDF processing capability to CSSBox.  Pdf2Dom is based on the Apache PDFBox™ library.
CloudSlang/cs-actions,GitHub,Java,38,CloudSlang Content Java Actions
incodehq/incode-platform,GitHub,JavaScript,8,Combines incode.org modules and isisaddons.org into a single set of modules.
terrier-org/terrier-core,GitHub,Java,162,Terrier IR Platform
demoiselle/signer,GitHub,Java,80,Repositório que contém os componentes para facilitar a implementação de assinatura digital nos padrões da ICP-BRASIL
GateNLP/gate-core,GitHub,Java,58,The GATE Embedded core API and GATE Developer application 
MyCoRe-Org/mycore,GitHub,Java,21,"MyCoRe (acronym for My Content Repository) is an open source repository software framework for building disciplinary or institutional repositories, digital archives, digital libraries, and scientific journals."
EhsanTang/ApiManager,GitHub,Java,2013,CRAP - 开源API接口管理平台 | 完全开源、免费使用的API接口管理系统、BUG管理系统：API接口管理、文档管理、数据库表管理、接口调试、浏览器调试插件、导出word&pdf接口…..，采用SpringMVC + MyBatis + Lucene + Bootstrap + Angularjs + Iconfont + Guava Cache ，线上使用地址：http://api.crap.cn
apache/isis,GitHub,Java,611,"Apache Isis™ software is a framework for rapidly developing domain-driven apps in Java. Write your business logic in entities, domain services or view models, and the framework dynamically generates a representation of that domain model as a webapp or as a RESTful API. For prototyping or production. "
nuxeo/nuxeo,GitHub,Java,392,Content management platform to build modern business applications
gatein/gatein-portal,GitHub,Java,70,GateIn Portal
wcm-io/wcm-io-tooling,GitHub,Java,10,Tooling for Maven and IDEs.
open-eid/sd-dss,GitHub,Java,8,"SD-DSS Tool, Cross-border eSignature creation and validation made easier"
yacy/yacy_search_server,GitHub,Java,2185,Distributed Peer-to-Peer Web Search Engine and Intranet Search Appliance
JabRef/jabref,GitHub,Java,2112,Graphical Java application for managing BibTeX and biblatex (.bib) databases
kermitt2/grobid,GitHub,Java,1170,A machine learning software for extracting information from scholarly documents
tabulapdf/tabula-java,GitHub,Java,1002,Extract tables from PDF files
Altinn/altinn-studio,GitHub,C#,45,Next generation open source Altinn platform and applications.
codelibs/fess-crawler,GitHub,Java,22,Web/FileSystem Crawler Library
appNG/appng,GitHub,Java,20,"appNG is an open source, horizontally scalable application platform for developing and operating applications efficiently. It can be used to build an Application Platform as a Service (aPaaS)."
buchen/portfolio,GitHub,Java,1313,A simple tool to calculate the overall performance of an investment portfolio.
KnowageLabs/Knowage-Server,GitHub,Java,279,Knowage is the professional open source suite for modern business analytics over traditional sources and big data systems. 
dita-ot/dita-ot,GitHub,Java,278,DITA Open Toolkit — the open-source XML publishing engine for content authored in the Darwin Information Typing Architecture.
nysenate/OpenLegislation,GitHub,Java,211,OpenLegislation is a web service that delivers legislative information from the New York State Senate and Assembly to the public in near-real time.  It is used internally to serve up legislative data for nysenate.gov and the Bluebird-CRM.
red6/pdfcompare,GitHub,Java,128,A simple Java library to compare two PDF files
skyvers/skyve,GitHub,JavaScript,111,"Skyve is an open-source low-code platform that gives you access to all of the key capabilities needed to build sophisticated, robust and scalable cloud solutions."
ZUGFeRD/mustangproject,GitHub,XSLT,102,"Open Source Java e-Invoicing library, validator and tool (Factur-X/ZUGFeRD, UNCEFACT/CII XRechnung)"
quelea-projection/Quelea,GitHub,Java,78,Open source projection software for churches.
Alfresco/alfresco-repository,GitHub,Java,78,Metadata and content storage for Alfresco Content Services (Community and Enterprise)
killbilling/recurly-java-library,GitHub,Java,47,Java library for Recurly
moodysalem/java-phantomjs-wrapper,GitHub,Java,41,A Java wrapper around the PhantomJS binaries including a packaged HTML to PDF render script
intranda/goobi-workflow,GitHub,Java,35,Goobi workflow - Workflow management software for digitisation projects used in more then 70 cultural heritage institutions in at least 17 countries.
CertifaiAI/classifai,GitHub,Java,33,:fire: One of the most comprehensive open-source data annotation platform.
wso2/analytics-apim,GitHub,JavaScript,15,Analytics for APIM
ijazfx/graphenee,GitHub,Java,11,Graphenee - Enterprise Application Development Framework
liferay/liferay-faces-bridge-impl,GitHub,Java,7,
manosbatsis/scrudbeans,GitHub,Java,7,"Hands-free, RESTful, extensible SCRUD for your Java/Kotlin JPA entities in Spring Boot"
exoplatform/core,GitHub,Java,5,eXo Core
qwazr/library-modules,GitHub,Java,1,
inkstand-io/scribble,GitHub,Java,0,Scribble has been moved to tourniquet-junit.
measuresforjustice/textricator,GitHub,Kotlin,263,Textricator is a tool to extract text from documents and generate structured data.
dhorions/boxable,GitHub,Java,200,Boxable is a library that can be used to easily create tables in pdf documents. 
864381832/xJavaFxTool-spring,GitHub,Java,188,基于JavaFx和SpringBoot搭建的实用小工具集合，方便开发过程中的代码编写与调试，想学习javaFx的同学可以参考参考。其中包括文件复制、Cron表达式生成器、编码转换、加密解密、Time转换、路径转换、二维码生成工具、身份证生成器、正则表达式生成工具、网址缩短、转义字符、字符串转换、Mq调试工具、Http调试工具、json格式化编辑工具、图标生成工具、Redis连接工具、网页源码下载工具、切换Hosts工具、Ftp服务器、Cmd调试工具、Ftp/Ftps/Sftp客户端调试工具、Pdf转换工具、文件列表生成器、图片压缩工具、图片转码工具、Kafka调试工具、Email群发工具、颜色代码转换工具、短信群发工具、脚本引擎调试、文件重命名、Json转换、语音转换、Socket调试、图片解析、微信小程序反编译、Zookeeper操作、Excel拆分合并、文件夹监控、文件编码检测、传输、端口扫描、久坐提醒、随机数生成、剪贴板历史等工具
cantaloupe-project/cantaloupe,GitHub,Java,162,High-performance dynamic image server in Java
OCR4all/OCR4all,GitHub,JavaScript,98,Provides OCR (Optical Character Recognition) services through web applications
HPInc/jipp,GitHub,Kotlin,60,A Java implementation of IPP
AgileBPM/agile-bpm-basic,GitHub,JavaScript,52,【流程管理】【智慧协同】【移动办公】【SpringBoot2-快速开发平台】 企业级工作流解决方案， 前后端分离，模块化，超低耦合。 基于activiti5.22，零java代码即可做到复杂业务的流程实
liumapp/workable-converter,GitHub,Java,50,基于libreoffice实现的文档转换项目，无框架依赖，即插即用
roikku/swift-explorer,GitHub,Java,50,User-friendly tool to manage files in an OpenStack Storage system (SWIFT)
codeborne/pdf-test,GitHub,Java,37,PDF Test
clouditor/clouditor,GitHub,Java,30,The Clouditor is a tool to support continuous cloud assurance. Developed by Fraunhofer AISEC.
Softmotions/ncms,GitHub,JavaScript,26,"Java CMS engine. Host and develop multiple websites inside a single instance through the GUI and benefit from features like A/B testing, affiliate tracking tools, and a high performance template engine with CSS stylesheets processing & scripts minification."
jasonwinning/hypernomicon,GitHub,Java,16,Hypertext-infused personal research productivity/database software (Mac/Win/Linux)
VTUL/vtechworks,GitHub,Java,6,DSpace at Virginia Tech
EsupPortail/esup-dematec,GitHub,Java,4,Application de dématérialisation des recrutements des enseignants chercheurs et ATER liés à l'application nationale Galaxie. 
jhonnymertz/java-wkhtmltopdf-wrapper,GitHub,Java,239,A Java wrapper for wkhtmltopdf
fancyerii/blog-codes,GitHub,Java,107,个人博客 (https://fancyerii.github.io/) 文章的代码
BMF-RKSV-Technik/at-registrierkassen-mustercode,GitHub,Java,81,
BMKEG/lapdftext,GitHub,Java,68,"LA-PDFText is a system for extracting accurate text from PDF-based research articles (and an interface to be able to improve performance where needed). The system is open-source and provides a simple baseline function for extracting text from primary research articles using rules that developers can customize. This means that the system works quite well for most applications (and might occasionally make mistakes and extract the wrong text), but it is always possible to 'hack' your own rules and improve performance."
docbleach/DocBleach,GitHub,Java,58,":shower: Sanitising your documents, one threat at a time. — Content Disarm & Reconstruction Software"
GdeiAssistant/GdeiAssistant,GitHub,Java,58,广东第二师范学院校园助手系统是基于网络爬虫模拟登录技术和Spring、SpringMVC、Mybatis框架开发的校园应用，已正式投入广东第二师范学院生产环境供在校师生使用。应用采用前后端分离的架构设计，前端界面使用第三方WeUI样式库，后端利用JSON和Restful API为前端和移动端提供数据接口。目前应用支持Android、UWP、微信小程序等多个客户端，并利用OAuth2.0技术，接入微信公众号、易班网等多个平台。
ogrisel/paper2ebook,GitHub,Java,52,Utility to re-structure research papers published in US Letter or A4 format PDF files to typically remove the 2 columns layout.
rostrovsky/pdf-table,GitHub,Java,43,Java utility for parsing PDF tabular data using Apache PDFBox and OpenCV
renatoathaydes/osgi-run,GitHub,Groovy,41,Osgi-Run - A Gradle plugin to make the development of modular applications using OSGi completely painless
spapas/pdf-sign-check,GitHub,Java,41,A java / spring boot application to help you check for signed pdf documents
ZhuningS/Awesome-Filter,GitHub,JavaScript,37,"Awesome-Filter：PIF 公益项目. Personal information filtering 适用于个人/家庭的信息管理库(侧重信息过滤与内容筛选，含RSS).全方位精确过滤,反垃圾与不良信息工具/技术/经验. 科学高效使用网络，防治信息爆炸信息焦虑等信息病，保护精神卫生与身心健康。独立自主，做信息的主人。欢迎建议,欢迎共同完善."
vinsguru/pdf-util,GitHub,Java,33,PDF Compare Utility
logicaldoc/document-management-software,GitHub,Java,33,LogicalDOC Community open source document management system https://www.logicaldoc.com
m-abboud/FontVerter,GitHub,Java,33,Java font converter library.
zaro/pdf-metadata-editor,GitHub,Java,31,"PDF Metadata Editor is a simple tool you can use to edit the metadata (Author, Keywors, etc.) of a PDF document."
bluenimble/serverless,GitHub,HTML,30,BlueNimble is a Hybrid Serverless Platform focusing on developer productivity and application portability.  Create and run scalable APIs and applications without coding or by coding less.  Focus on application business logic without any knowledge of the underlying microservices architecture.
haplo-org/haplo,GitHub,Ruby,28,The Haplo Platform
rototor/pdfbox-graphics2d,GitHub,Java,24,Graphics2D Bridge for pdfbox
eclipse/antenna,GitHub,Java,22,SW360 Antenna project
scoophealth/oscar,GitHub,Java,20,OSCAR EHR Mirror
phax/ph-pdf-layout,GitHub,Java,20,"Java library for creating fluid page layouts with Apache PDFBox. Supporting multi-page tables, different page layouts etc."
kermitt2/grobid-quantities,GitHub,JavaScript,18,GROBID extension for identifying and normalizing physical quantities.
EasyinnovaSL/DPFManager,GitHub,Java,16,DPF Manager: Digital Preservation Formats Manager (Image files)
moravianlibrary/MEditor,GitHub,Java,16,Digitization information system build on top of Fedora repository
mbasa/GeoFuse,GitHub,CSS,14,Thematic Engine for Dynamic CSV or Tab Delimited Data
Esri/geoportal-server-harvester,GitHub,Java,13,Next generation harvester for Geoportal Server.
palladian/palladian,GitHub,Java,13,"Palladian is a Java-based toolkit with functionality for text processing, classification, information extraction, and data retrieval from the Web."
ranorex/Packages,GitHub,C#,13,Contains a collection of Ranorex automation packages.
ClouDesire/janine,GitHub,Java,13,Your sexy generator and archiver of PDF invoices
g0vhk-io/legco-hansard-pdf-extractor,GitHub,Kotlin,12,Legco Hansard PDF Extractor
code4romania/expert-consultation-api,GitHub,Java,12,Digital tool for legal consultation on law proposals
LexPredict/tika-server,GitHub,Java,7,Apache Tika Server with Tesseract 4 Docker Setup 
exoplatform/wiki,GitHub,Java,6,eXo Wiki
montsuqi/monsiaj,GitHub,Java,6,Java版日レセクライアント
montsuqi/monsiaj,GitHub,Java,6,Java版日レセクライアント
radkovo/CSSBoxPdf,GitHub,Java,4,PDF renderer for the CSSBox rendering engine.
AdvancedPhotonSource/ComponentDB,GitHub,Java,4,
openlimit-signcubes/dss,GitHub,Java,3,DSS : Digital Signature Service - with additional features (TLS support for TSPs)
yrodiere/hibernate-search,GitHub,Java,1,Hibernate Search: full-text search for domain model
tunguski/matsuo-core,GitHub,Java,1,Base code for Matsuo Java applications
dbs/DSpace,GitHub,Java,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
subhh/kitodo-production,GitHub,Java,0,Kitodo.Production
rajendarreddyj/development-java,GitHub,Java,0,Java/Spring/Hibernate Projects
dmgerman/camel,GitHub,Java,0,
rlon008/testamation,GitHub,Java,0,Functional/integration test framework for web projects
joe9111/jabref,GitHub,Java,0,Graphical Java application for managing BibTeX and biblatex (.bib) databases
bcoddens/DSpace,GitHub,Java,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
thoqbk/traprange,GitHub,HTML,114,A Method to Extract Table Content in PDF Files (Java)
